Name	ReportingUnitType
Massachusetts;MA House District 1	state-house
Massachusetts;MA House District 2	state-house
Massachusetts;MA House District 3	state-house
Massachusetts;MA House District 4	state-house
Massachusetts;MA House District 5	state-house
Massachusetts;MA House District 6	state-house
Massachusetts;MA House District 7	state-house
Massachusetts;MA House District 8	state-house
Massachusetts;MA House District 9	state-house
Massachusetts;MA House District 10	state-house
Massachusetts;MA House District 11	state-house
Massachusetts;MA House District 12	state-house
Massachusetts;MA House District 13	state-house
Massachusetts;MA House District 14	state-house
Massachusetts;MA House District 15	state-house
Massachusetts;MA House District 16	state-house
Massachusetts;MA House District 17	state-house
Massachusetts;MA House District 18	state-house
Massachusetts;MA House District 19	state-house
Massachusetts;MA House District 20	state-house
Massachusetts;MA House District 21	state-house
Massachusetts;MA House District 22	state-house
Massachusetts;MA House District 23	state-house
Massachusetts;MA House District 24	state-house
Massachusetts;MA House District 25	state-house
Massachusetts;MA House District 26	state-house
Massachusetts;MA House District 27	state-house
Massachusetts;MA House District 28	state-house
Massachusetts;MA House District 29	state-house
Massachusetts;MA House District 30	state-house
Massachusetts;MA House District 31	state-house
Massachusetts;MA House District 32	state-house
Massachusetts;MA House District 33	state-house
Massachusetts;MA House District 34	state-house
Massachusetts;MA House District 35	state-house
Massachusetts;MA House District 36	state-house
Massachusetts;MA House District 37	state-house
Massachusetts;MA House District 38	state-house
Massachusetts;MA House District 39	state-house
Massachusetts;MA House District 40	state-house
Massachusetts;MA House District 41	state-house
Massachusetts;MA House District 42	state-house
Massachusetts;MA House District 43	state-house
Massachusetts;MA House District 44	state-house
Massachusetts;MA House District 45	state-house
Massachusetts;MA House District 46	state-house
Massachusetts;MA House District 47	state-house
Massachusetts;MA House District 48	state-house
Massachusetts;MA House District 49	state-house
Massachusetts;MA House District 50	state-house
Massachusetts;MA House District 51	state-house
Massachusetts;MA House District 52	state-house
Massachusetts;MA House District 53	state-house
Massachusetts;MA House District 54	state-house
Massachusetts;MA House District 55	state-house
Massachusetts;MA House District 56	state-house
Massachusetts;MA House District 57	state-house
Massachusetts;MA House District 58	state-house
Massachusetts;MA House District 59	state-house
Massachusetts;MA House District 60	state-house
Massachusetts;MA House District 61	state-house
Massachusetts;MA House District 62	state-house
Massachusetts;MA House District 63	state-house
Massachusetts;MA House District 64	state-house
Massachusetts;MA House District 65	state-house
Massachusetts;MA House District 66	state-house
Massachusetts;MA House District 67	state-house
Massachusetts;MA House District 68	state-house
Massachusetts;MA House District 69	state-house
Massachusetts;MA House District 70	state-house
Massachusetts;MA House District 71	state-house
Massachusetts;MA House District 72	state-house
Massachusetts;MA House District 73	state-house
Massachusetts;MA House District 74	state-house
Massachusetts;MA House District 75	state-house
Massachusetts;MA House District 76	state-house
Massachusetts;MA House District 77	state-house
Massachusetts;MA House District 78	state-house
Massachusetts;MA House District 79	state-house
Massachusetts;MA House District 80	state-house
Massachusetts;MA House District 81	state-house
Massachusetts;MA House District 82	state-house
Massachusetts;MA House District 83	state-house
Massachusetts;MA House District 84	state-house
Massachusetts;MA House District 85	state-house
Massachusetts;MA House District 86	state-house
Massachusetts;MA House District 87	state-house
Massachusetts;MA House District 88	state-house
Massachusetts;MA House District 89	state-house
Massachusetts;MA House District 90	state-house
Massachusetts;MA House District 91	state-house
Massachusetts;MA House District 92	state-house
Massachusetts;MA House District 93	state-house
Massachusetts;MA House District 94	state-house
Massachusetts;MA House District 95	state-house
Massachusetts;MA House District 96	state-house
Massachusetts;MA House District 97	state-house
Massachusetts;MA House District 98	state-house
Massachusetts;MA House District 99	state-house
Massachusetts;MA House District 100	state-house
Massachusetts;MA House District 101	state-house
Massachusetts;MA House District 102	state-house
Massachusetts;MA House District 103	state-house
Massachusetts;MA House District 104	state-house
Massachusetts;MA House District 105	state-house
Massachusetts;MA House District 106	state-house
Massachusetts;MA House District 107	state-house
Massachusetts;MA House District 108	state-house
Massachusetts;MA House District 109	state-house
Massachusetts;MA House District 110	state-house
Massachusetts;MA House District 111	state-house
Massachusetts;MA House District 112	state-house
Massachusetts;MA House District 113	state-house
Massachusetts;MA House District 114	state-house
Massachusetts;MA House District 115	state-house
Massachusetts;MA House District 116	state-house
Massachusetts;MA House District 117	state-house
Massachusetts;MA House District 118	state-house
Massachusetts;MA House District 119	state-house
Massachusetts;MA House District 120	state-house
Massachusetts;MA House District 121	state-house
Massachusetts;MA House District 122	state-house
Massachusetts;MA House District 123	state-house
Massachusetts;MA House District 124	state-house
Massachusetts;MA House District 125	state-house
Massachusetts;MA House District 126	state-house
Massachusetts;MA House District 127	state-house
Massachusetts;MA House District 128	state-house
Massachusetts;MA House District 129	state-house
Massachusetts;MA House District 130	state-house
Massachusetts;MA House District 131	state-house
Massachusetts;MA House District 132	state-house
Massachusetts;MA House District 133	state-house
Massachusetts;MA House District 134	state-house
Massachusetts;MA House District 135	state-house
Massachusetts;MA House District 136	state-house
Massachusetts;MA House District 137	state-house
Massachusetts;MA House District 138	state-house
Massachusetts;MA House District 139	state-house
Massachusetts;MA House District 140	state-house
Massachusetts;MA House District 141	state-house
Massachusetts;MA House District 142	state-house
Massachusetts;MA House District 143	state-house
Massachusetts;MA House District 144	state-house
Massachusetts;MA House District 145	state-house
Massachusetts;MA House District 146	state-house
Massachusetts;MA House District 147	state-house
Massachusetts;MA House District 148	state-house
Massachusetts;MA House District 149	state-house
Massachusetts;MA House District 150	state-house
Massachusetts;MA House District 151	state-house
Massachusetts;MA House District 152	state-house
Massachusetts;MA House District 153	state-house
Massachusetts;MA House District 154	state-house
Massachusetts;MA House District 155	state-house
Massachusetts;MA House District 156	state-house
Massachusetts;MA House District 157	state-house
Massachusetts;MA House District 158	state-house
Massachusetts;MA House District 159	state-house
Massachusetts;MA House District 160	state-house
Massachusetts;MA Senate District 1	state-senate
Massachusetts;MA Senate District 2	state-senate
Massachusetts;MA Senate District 3	state-senate
Massachusetts;MA Senate District 4	state-senate
Massachusetts;MA Senate District 5	state-senate
Massachusetts;MA Senate District 6	state-senate
Massachusetts;MA Senate District 7	state-senate
Massachusetts;MA Senate District 8	state-senate
Massachusetts;MA Senate District 9	state-senate
Massachusetts;MA Senate District 10	state-senate
Massachusetts;MA Senate District 11	state-senate
Massachusetts;MA Senate District 12	state-senate
Massachusetts;MA Senate District 13	state-senate
Massachusetts;MA Senate District 14	state-senate
Massachusetts;MA Senate District 15	state-senate
Massachusetts;MA Senate District 16	state-senate
Massachusetts;MA Senate District 17	state-senate
Massachusetts;MA Senate District 18	state-senate
Massachusetts;MA Senate District 19	state-senate
Massachusetts;MA Senate District 20	state-senate
Massachusetts;MA Senate District 21	state-senate
Massachusetts;MA Senate District 22	state-senate
Massachusetts;MA Senate District 23	state-senate
Massachusetts;MA Senate District 24	state-senate
Massachusetts;MA Senate District 25	state-senate
Massachusetts;MA Senate District 26	state-senate
Massachusetts;MA Senate District 27	state-senate
Massachusetts;MA Senate District 28	state-senate
Massachusetts;MA Senate District 29	state-senate
Massachusetts;MA Senate District 30	state-senate
Massachusetts;MA Senate District 31	state-senate
Massachusetts;MA Senate District 32	state-senate
Massachusetts;MA Senate District 33	state-senate
Massachusetts;MA Senate District 34	state-senate
Massachusetts;MA Senate District 35	state-senate
Massachusetts;MA Senate District 36	state-senate
Massachusetts;MA Senate District 37	state-senate
Massachusetts;MA Senate District 38	state-senate
